date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-05-30,405.95,419.38,401.1,404.32,404.32,60465256,60465256,-1.63,-0.40152728,408.27,"May 30, 23",-0.0040152728
2023-05-26,378.9,391.7,375.5,389.46,389.459991,71386076,71342900,10.56,2.79,385.31,"May 26, 23",0.0279
2023-05-25,385.23,394.8,366.35,379.8,379.799988,154383377,154391100,-5.43,-1.41,383.02,"May 25, 23",-0.0141
2023-05-24,302.1,306.07,298.06,305.38,305.380005,72141851,72141900,3.28,1.09,321.59,"May 24, 23",0.0109
2023-05-23,310,312.88,306.31,306.88,306.880005,35620126,35625300,-3.12,-1.01,309.07,"May 23, 23",-0.0101
2023-05-22,309.01,315.2,306.8,311.76,311.76001,37013367,37200000,2.75,0.88994,312.09,"May 22, 23",0.0088994
2023-05-19,315.36,315.8,309.16,312.64,312.640015,47390717,47312400,-2.72,-0.86251,312.53,"May 19, 23",-0.0086251
2023-05-18,304.1,318.28,303.2,316.78,316.779999,74864821,74872500,12.68,4.17,313.41,"May 18, 23",0.0417
2023-05-17,295.84,301.99,294.3001,301.78,301.779999,43253491,43253500,5.94,2.01,298.86,"May 17, 23",0.0201
2023-05-16,288.41,298.7,288.32,292.13,292.130005,44940494,44940500,3.72,1.29,294.27,"May 16, 23",0.0129
2023-05-15,285.085,289.69,281.52,289.53,289.529999,29346499,29392600,4.445,1.56,286.73,"May 15, 23",0.0156
2023-05-12,285.29,287.8,280.46,283.4,283.399994,27406335,27402700,-1.89,-0.66248,283.29,"May 12, 23",-0.0066248
2023-05-11,288.96,289.5,282.46,285.78,285.779999,32158903,32214900,-3.18,-1.1,285.6,"May 11, 23",-0.011
2023-05-10,290.05,291.13,284.6128,288.85,288.850006,36934048,36935000,-1.2,-0.41372,288.54,"May 10, 23",-0.0041372
2023-05-09,288.99,289.73,284.5,285.71,285.709991,31486946,31486900,-3.28,-1.13,286.3,"May 09, 23",-0.0113
2023-05-08,285.22,292.2,283.5,291.51,291.51001,34497890,34497900,6.29,2.21,288.58,"May 08, 23",0.0221
2023-05-05,278.255,287.55,277.31,286.8,286.799988,36147908,36101400,8.545,3.07,284.08,"May 05, 23",0.0307
2023-05-04,276.51,278.59,272.4,275.62,275.619995,32184806,32185000,-0.89,-0.32187,275.71,"May 04, 23",-0.0032187
2023-05-03,278.4,283.67,274.72,278.02,278.019989,38338740,38338700,-0.38,-0.13649,279.08,"May 03, 23",-0.0013649
2023-05-02,286.8,288.3599,280.83,282.1,282.100006,40122057,40273000,-4.7,-1.64,283.55,"May 02, 23",-0.0164
2023-05-01,278.4,290.5844,277.8,289.1,289.100006,56942853,57032900,10.7,3.84,286.24,"May 01, 23",0.0384
2023-04-28,272.25,277.58,270.7148,277.49,277.48999,29221614,29168700,5.24,1.92,274.71,"April 28, 23",0.0192
2023-04-27,273.63,274.95,266.2501,272.26,272.26001,37693119,37716100,-1.37,-0.50068,269.79,"April 27, 23",-0.0050068
2023-04-26,270.02,273.3,267.051,269.56,269.559998,40633681,40633700,-0.46,-0.17036,270.45,"April 26, 23",-0.0017036
2023-04-25,270.78,272.47,262.25,262.41,262.410004,37852716,37852700,-8.37,-3.09,265.59,"April 25, 23",-0.0309
2023-04-24,270.13,273.6599,266.7101,270.42,270.420013,33928186,33928200,0.29,0.10736,270.08,"April 24, 23",0.0010736
2023-04-21,269.52,271.83,267.22,271.19,271.190002,34289637,34510300,1.67,0.61962,269.99,"April 21, 23",0.0061962
2023-04-20,276.71,280.3,270,271.04,271.040009,42771326,42771300,-5.67,-2.05,275.14,"April 20, 23",-0.0205
2023-04-19,273.61,280,272.32,279.31,279.309998,35866041,35866000,5.7,2.08,277.44,"April 19, 23",0.0208
2023-04-18,275.335,281.1,273.57,276.67,276.670013,60481154,60481200,1.335,0.48486,277.51,"April 18, 23",0.0048486
2023-04-17,265.655,270.06,264.3318,270.02,270.019989,32147130,32147100,4.365,1.64,267.46,"April 17, 23",0.0164
2023-04-14,265.04,268.83,262.2,267.58,267.579987,39557433,39566000,2.54,0.95835,265.74,"April 14, 23",0.0095835
2023-04-13,267.34,268.869,263.29,264.63,264.630005,35361528,35361500,-2.71,-1.01,266.53,"April 13, 23",-0.0101
2023-04-12,273.7,274.6799,264.475,264.95,264.950012,44625895,44625900,-8.75,-3.2,267.84,"April 12, 23",-0.032
2023-04-11,277.235,277.9,271.26,271.69,271.690002,31425817,31437800,-5.545,-2,273.22,"April 11, 23",-0.02
2023-04-10,268.23,276.2099,266.69,275.79,275.790009,39527855,39527900,7.56,2.82,273.01,"April 10, 23",0.0282
2023-04-06,265.84,270.8,264.27,270.37,270.369995,39751038,39765400,4.53,1.7,268.68,"April 06, 23",0.017
2023-04-05,268.29,269.98,263.95,268.81,268.809998,51470274,51501500,0.52,0.19382,266.86,"April 05, 23",0.0019382
2023-04-04,279.66,280,273.07,274.53,274.529999,36840953,36859200,-5.13,-1.83,276.19,"April 04, 23",-0.0183
2023-04-03,275.09,280,273.36,279.65,279.649994,39868260,39871600,4.56,1.66,276.98,"April 03, 23",0.0166
2023-03-31,271.4,278.3431,271.05,277.77,277.769989,43393277,43393300,6.37,2.35,275.79,"March 31, 23",0.0235
2023-03-30,272.29,274.99,271.02,273.83,273.829987,36451574,36451600,1.54,0.56557,273.29,"March 30, 23",0.0056557
2023-03-29,268.25,270.78,265.97,269.84,269.839996,39369387,39369400,1.59,0.59273,268.99,"March 29, 23",0.0059273
2023-03-28,264.47,265.13,258.5,264.1,264.100006,35610378,35610400,-0.37,-0.1399,261.76,"March 28, 23",-0.001399
2023-03-27,268.37,270,263.65,265.31,265.309998,36102574,36102600,-3.06,-1.14,266.55,"March 27, 23",-0.0114
2023-03-24,270.31,271.67,263.55,267.79,267.790009,45541407,45492000,-2.52,-0.93226,266.53,"March 24, 23",-0.0093226
2023-03-23,271.155,274.99,266.9,271.91,271.910004,56488876,56488900,0.755,0.27844,271.88,"March 23, 23",0.0027844
2023-03-22,264.25,275.89,262.37,264.68,264.679993,79729511,79729500,0.43,0.16272,269.82,"March 22, 23",0.0016272
2023-03-21,261.8,263.92,253.81,261.99,261.98999,54740776,54740800,0.19,0.07257448,260.35,"March 21, 23",0.0007257448
2023-03-20,256.15,260.24,251.2983,259,259,43274719,43274700,2.85,1.11,256.93,"March 20, 23",0.0111
2023-03-17,259.82,263.99,256.68,257.25,257.25,84849656,84854700,-2.57,-0.98915,259.26,"March 17, 23",-0.0098915
